attribute,mse_2img,average_mse
trustworthy,222.08726501464844,261.69430189866284
attractive,17.126689910888672,184.50127704326923
dominant,583.664794921875,263.4741610013522
smart,4.002147674560547,139.4902566763071
age,982.810546875,506.9041771521935
gender,676.4962158203125,890.5621807391827
weight,153.12884521484375,157.17203286977914
typical,12.783248901367188,145.4393322284405
happy,41.762290954589844,441.98819673978363
familiar,216.03701782226562,157.74336183988132
outgoing,16.980670928955078,239.06417025052585
memorable,68.42597961425781,80.74149439885066
well-groomed,210.00013732910156,519.6266737717849
long-haired,370.0497741699219,592.0391376201923
smug,550.76806640625,333.918214064378
dorky,559.8732299804688,510.42416616586536
skin-color,532.4117431640625,798.8634221003606
hair-color,1474.8001708984375,708.0192495492788
alert,50.773033142089844,144.3515431330754
cute,181.54344177246094,354.1432800292969
privileged,70.50581359863281,205.9332075852614
liberal,51.28616714477539,129.84583458533655
asian,918.300048828125,1420.2579533503606
middle-eastern,131.22409057617188,693.0030095027043
hispanic,10.008381843566895,623.4649611253005
islander,478.63238525390625,912.0152493990385
native,333.05133056640625,912.7257080078125
black,1671.571533203125,1791.732149564303
white,976.8698120117188,1154.4350210336538
looks-like-you,788.3804931640625,928.344966008113
gay,626.70947265625,526.5146977351262
electable,596.8762817382812,413.61265681340143
godly,22.03202247619629,180.32587432861328
outdoors,1041.01806640625,958.0056527944712
