attribute,mse_2img,average_mse
trustworthy,39.301090240478516,70.15024948120117
attractive,144.48123168945312,81.92891869178185
dominant,174.02960205078125,82.69951952420749
smart,101.44241333007812,64.56254401573769
age,57.679344177246094,54.994945819561295
gender,197.1043701171875,134.72219848632812
weight,95.97583770751953,115.38860027606671
typical,7.207759380340576,81.09745935293344
happy,114.17513275146484,185.62467721792368
familiar,14.593896865844727,68.13921767014723
outgoing,27.983184814453125,101.87539438100961
memorable,22.829469680786133,54.46434783935547
well-groomed,6.714740753173828,86.26375638521634
long-haired,72.94677734375,83.47292533287636
smug,75.08699035644531,96.31667973445012
dorky,11.091692924499512,136.09129979060248
skin-color,46.335731506347656,83.75640194232648
hair-color,178.10313415527344,144.63544522798978
alert,50.72041320800781,70.79410171508789
cute,155.4639129638672,92.15296789316031
privileged,43.815147399902344,78.01447354830228
liberal,91.69755554199219,76.98350700965294
asian,1111.4691162109375,338.1196083655724
middle-eastern,99.22808837890625,219.51222346379205
hispanic,67.19506072998047,275.3244106586163
islander,529.887451171875,199.91765770545373
native,502.73809814453125,172.3055270268367
black,15.092415809631348,91.74554978884183
white,882.556640625,344.3641545222356
looks-like-you,60.54003143310547,38.092251557570236
gay,89.76774597167969,141.9514676607572
electable,72.0125732421875,156.69243269700272
godly,25.122116088867188,77.06662398118239
outdoors,4.065663814544678,187.29879115178034
